Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَعوذُ بِكَ مِنَ البُخْـل وَأَعوذُ بِكَ مِنَ الجُـبْن وَأَعوذُ بِكَ مِنْ أَنْ أُرَدَّ إِلى أَرْذَلِ الـعُمُر وَأََعوذُ بِكَ مِنْ فِتْنَـةِ الدُّنْـيا وَعَـذابِ القَـبْر,Allāhumma 'innī ‘a`udhu bika mina ‘l-bukhl. wa ‘a`udhu bika mina ‘l-jubn. wa ‘a`udhu bika min ‘an ‘uradda ilā ‘ardhali ‘l-`umur. wa ‘a`udhu bika min fitnatid-dunyā wa `adhābi ‘l-qabr.,"O Allah, I seek Your protection from miserliness, I seek Your protection from cowardice, and I seek Your protection from being returned to feeble old age. I seek Your protection from the trials of this world and from the torment of the grave.","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/35Hisnul Muslim 60"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَسْأَلُـكَ الجَـنَّةَ وأََعوذُ بِـكَ مِـنَ الـنّار,Allāhumma innī as'aluka ‘l-jannahwa a`ūdhu bika minan-nār.,"O Allah, I ask You for Paradise, and I seek Your protection from the Fire.","Reference:Abu Dawud. See also Al-Albani, Sahih Ibn Majah 2/328.Hisnul Muslim 61"
Uncategorized,N/A,اللّهُـمَّ بِعِلْـمِكَ الغَـيْبِ وَقُـدْرَتِـكَ عَلـى الْخَلقِ أَحْـيِني ما عَلِـمْتَ الحـياةَ خَـيْراً لـي وَتَوَفَّـني إِذا عَلِـمْتَ الوَفـاةَ خَـيْراً لـي اللّهُـمَّ إِنِّـي أَسْـأَلُـكَ خَشْيَتَـكَ في الغَـيْبِ وَالشَّهـادَةِ وَأَسْـأَلُـكَ كَلِمَـةَ الحَـقِّ في الرِّضـا وَالغَضَـب وَأَسْـأَلُـكَ القَصْدَ في الغِنـى وَالفَقْـر أَسْـأَلُـكَ نَعـيماً لا يَنْفَـد وَأَسْـأَلُـكَ قُـرَّةَ عَيْـنٍ لا تَنْـقَطِعْ وَأَسْـأَلُـكَ الرِّضـا بَعْـدَ القَضـاء وَأَسْـأَلُـكَ بًـرْدَ الْعَـيْشِ بَعْـدَ الْمَـوْت وَأَسْـأَلُـكَ لَـذَّةَ النَّظَـرِ إِلـى وَجْـهِكَ وَالشَّـوْقَ إِلـى لِقـائِـك في غَـيرِ ضَـرّاءَ مُضِـرَّة وَلا فِتْـنَةٍ مُضـلَّة اللّهُـمَّ زَيِّـنّا بِزينَـةِ الإيـمان وَاجْـعَلنا هُـداةً مُهْـتَدين,"Allāhumma bi `ilmika ‘l-ghayb, wa qudratika `ala ‘l-khalq. aḥyinī mā `alimta ‘l-ḥayāta khayran lī. wa tawaffanī idhā `alimta ‘l-wafāta khayran lī. Allāhumma innī as'aluka khash’yataka fil-ghaybi wash-shahādah. wa as'aluka kalimata ‘l-ḥaqqi fir-riḍā wa ‘l-ghaḍab. wa as'aluka ‘l-qaṣda fil-ghinā wa ‘l-faqr. wa as'aluka na`īman lā yanfad. wa as'aluka qurrata `aynin lā tanqati`. wa as'alukar-riḍā ba`dal-qaḍā'. wa as'aluka barda ‘l-`ayshi ba`da ‘l-mawt. wa as'aluka ladh-dhatan-naẓari ilā wajhik. wash-shawqa ilā liqā'ik. fī ghayri ḍarrā'a muḍirrah, wa lā fitnatin muḍillah. Allāhumma zayyinnā bi zīnati ‘l-'īmān. waj`alnā hudātan muhtadīn.","O Allah, by Your Knowledge of the unseen and by Your Power over creation, let me live if You know that life is good for me, and let me die if You know that death is good for me. O Allah, I ask You to grant me fear of You in private and in public. I ask you for the word of truth in times of contentment and anger. I ask You for moderation in wealth and in poverty. I ask you for blessings never ceasing and the coolness of my eye (i. e. pleasure) that never ends. I ask You for pleasure after Your Judgment and I ask You for a life of coolness after death. I ask You for the delight of gazing upon Your Face, and the joy of meeting You, without any harm and misleading trials befalling me. O Allah, dress us with the beauty of Faith and make us guides who are upon (correct) guidance.","Reference:An-Nasa'i 3/54, 55, Ahmad 4/364. See also Al-Albani, Sahih An-Nasa'i 1/281.Hisnul Muslim 62"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَسْأَلُـكَ يا اللهُ بِأَنَّـكَ الواحِـدُ الأَحَـد الصَّـمَدُ الَّـذي لَـمْ يَلِـدْ وَلَمْ يولَدْ وَلَمْ يَكـنْ لَهُ كُـفُواً أَحَـد  أَنْ تَغْـفِرْ لي ذُنـوبي إِنَّـكَ أَنْـتَ الغَفـورُ الرَّحِّـيم,Allāhumma innī as'aluka yā Allāhbi'annaka ‘l-Wāḥidu ‘l-Aḥaduṣ-ṣamad. alladhī lam yalid wa lam yūlad. wa lam yakun lahu kufuwan aḥad. an taghfir lī dhunūbī. innaka anta ‘l-Ghafūrur-Raḥīm.,"O Allah, I ask You. O Allah, You are the One, the Only, Self-Sufficient Master, Who was not begotten and begets not, and none is equal to Him. Forgive me my sins, surely you are Forgiving, Merciful.","Reference:An-Nasa'i 3/52, Ahmad 4/338. See also Al-Albani, Sahih An-Nasa'i 1/280 and Sifat Salatun-Nabi, pg. 204.Hisnul Muslim 63"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَسْأَلُـكَ بِأَنَّ لَكَ الْحَـمْدُ لا إِلـهَ إِلاّ أَنْـتَ وَحْـدَكَ لا شَـريكَ لَـكَ المَنّـانُ يا بَديـعَ السَّمواتِ وَالأَرْضِ يا ذا الجَلالِ وَالإِكْـرام يا حَـيُّ يا قَـيّومُ إِنِّـي أَسْأَلُـكَ الجَـنَّةَ وَأَعـوذُ بِـكَ مِنَ الـنّار,"Allāhumma innī as'aluka bi'anna laka ‘l-ḥamd. lā ilāha illā ant, waḥdaka lā sharīka lak. al-Mannān, yā Badī`as-samāwāti wa ‘l-arḍyā dha ‘l-Jalāli wa ‘l-'Ikrām, yā ḥayyu yā Qayyūm. innī as'aluka ‘l-jannah, wa a`ūdhu bika minan-nār.","O Allah, I ask You, as You are the Owner of praise, there is none worthy of worship but You alone, You have no partner. You are the Giver of all good. O Creator of the heavens and the earth, Owner of majesty and honor. O Living and Everlasting One, I ask you for Paradise, and I seek refuge in You from the fire.","Reference:Abu Dawud, An-Nasa'i, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih Ibn Majah 2/329.Hisnul Muslim 64"
Uncategorized,N/A,للّهُـمَّ إِنِّـي أَسْأَلُـكَ بِأَنَّـي أَشْـهَدُ أَنَّـكَ أنْـتَ اللهُ لا إِلـهَ إِلاّ أَنْـت الأَحَـدُ الصَّـمَدُ الَّـذي لَـمْ يَلِـدْ وَلَمْ يولَـدْ وَلَمْ يَكـنْ لَهُ كُـفُواً أَحَـد,Allāhumma innī as'alukabi'annī ash-hadu annaka ant-Allāhlā 'ilāha 'illā ant. Al-Aḥaduṣ-ṣamadalladhī lam yalid wa lam yūladwa lam yakun lahu kufuwan aḥad.,"O Allah, I ask You, by the fact that I bear witness that You are Allah. There is none worthy of worship but You, the Only God, Independent of creation, Who was not begotten and begets not, and none is equal to Him.","Reference:Abu Dawud 2/62, Ibn Majah 2/1267, At-Tirmidhi 5/515, Ahmad 5/360. See also Al-Albani, Sahih Ibn Majah 2/329 and Sahih At-Tirmidhi 3/163.Hisnul Muslim 65"
Chapter 25: After salam,8 du'as,أَسْـتَغْفِرُ الله (ثَلاثاً) اللّهُـمَّ أَنْـتَ السَّلامُ وَمِـنْكَ السَّلام تَبارَكْتَ يا ذا الجَـلالِ وَالإِكْـرام,Astaghfirullāh [three times] Allāhumma antas-salām. wa minkas-salām. tabārakta yā dhal-Jalāli wal-'Ikrām.,"I seek the forgiveness of Allah (three times). O Allah, You are Peace and from You comes peace. Blessed are You, O Owner of majesty and honor.",Reference:Muslim 1/414.Hisnul Muslim 66
Uncategorized,N/A,لا إلهَ إلاّ اللّهُ وحدَهُ لا شريكَ لهُ لهُ المُـلْكُ ولهُ الحَمْد وهوَ على كلّ شَيءٍ قَدير اللّهُـمَّ لا مانِعَ لِما أَعْطَـيْت وَلا مُعْطِـيَ لِما مَنَـعْت وَلا يَنْفَـعُ ذا الجَـدِّ مِنْـكَ الجَـد,Lā 'ilāha 'illallāh. waḥdahu lā sharīka lah. lahu ‘l-mulku wa lahu ‘l-ḥamd. wa huwa `alā kulli shay'in qadīr. Allāhumma lā māni`a limā 'a`tayt. wa lā mu`tiya limā mana`t. wa lā yanfa`u dhal-jaddi minkal-jadd.,"None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise, and He is Able to do all things. O Allah, there is none who can withhold what You give, and none may give what You have withheld, and the might of the mighty person cannot benefit him against You.","Reference:Al-Bukhari 1/255, Muslim 1/414.Hisnul Muslim 67"
Uncategorized,N/A,لا إلهَ إلاّ اللّه وحدَهُ لا شريكَ لهُ لهُ الملكُ ولهُ الحَمد وهوَ على كلّ شيءٍ قدير لا حَـوْلَ وَلا قـوَّةَ إِلاّ بِاللهِ لا إلهَ إلاّ اللّـه وَلا نَعْـبُـدُ إِلاّ إيّـاه لَهُ النِّعْـمَةُ وَلَهُ الفَضْل وَلَهُ الثَّـناءُ الحَـسَن لا إلهَ إلاّ اللّهُ مخْلِصـينَ لَـهُ الدِّينَ وَلَوْ كَـرِهَ الكـافِرون,"Lā 'ilāha 'illallāh. waḥdahu lā sharīka lah. lahul-mulku, wa lahul-ḥamd. wa huwa `alā kulli shay'in qadīr. Lā ḥawla wa lā quwwata 'illā billāh. lā 'ilāha 'illallāh. wa lā na`budu 'illā 'iyyāh. lahun-ni`matu wa lahul-faḍl. wa lahuth-thanā'ul-ḥasan. lā 'ilāha 'illallāh. mukhliṣīna lahud-dīn. wa law karihal-kāfirūn.","None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things. There is no power and no might except by Allah. None has the right to be worshipped but Allah, and we do not worship any other besides Him. His is grace, and His is bounty, and to Him belongs the most excellent praise. None has the right to be worshipped but Allah.(We are) sincere in making our religious devotion to Him, even though the disbelievers may dislike it.",Reference:Muslim 1/415.Hisnul Muslim 68
Uncategorized,N/A,سُـبْحانَ اللهِ والحَمْـدُ لله واللهُ أكْـبَر (ثلاثاً وثلاثين) لا إلهَ إلاّ اللّهُ وَحْـدَهُ لا شريكَ لهُ لهُ الملكُ ولهُ الحَمْد وهُوَ على كُلّ شَيءٍ قَـدير,"Subḥānallāh. walḥamdu lillāh. wallāhu 'akbar, [each repeated 33 times] Lā 'ilāha 'illallāhwaḥdahu lā sharīka lahu. lahul-mulku wa lahul-ḥamdwa huwā`lā kulli shay'in qadīr.","Glory is to Allah, and praise is to Allah, and Allah is the Most Great.(each said thirty-three times)None has the right to be worshiped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things.","Reference:Muslim 1/418, Whoever says this after every prayer will be forgiven his sins even though they be as the foam of the sea.Hisnul Muslim 69"
Uncategorized,N/A,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ {قُلْ هُوَ اللَّهُ أَحَدٌ* اللَّهُ الصَّمَدُ* لَمْ يَلِدْ وَلَمْ يُولَدْ* وَلَمْ يَكُن لَّهُ كُفُواً أَحَدٌ} بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ {قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ* مِن شَرِّ مَا خَلَقَ* وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ* وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ* وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ} بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ {قُلْ أَعُوذُ بِرَبِّ النَّاسِ* مَلِكِ النَّاسِ* إِلَهِ النَّاسِ* مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ* الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ* مِنَ الْجِنَّةِ وَالنَّاسِ} بَعْدَ كُلِّ صَلاَةٍ,Bismillāhir-Raḥmānir-Raḥīm. Qul huwallāhu aḥad. Allāhuṣ-ṣamad. Lam yalid wa lam yūlad. Wa lam yakun lahu kufuwan aḥad. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbil-falaq. Min sharri mā khalaq. Wa min sharri ghāsiqin idhā waqab. Wa min sharrin-naffāthāti fil-`uqad. Wa min sharri ḥāsidin idhā ḥasad. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbin-nās. Malikin-nās. 'Ilāhin-nās. Min sharri ‘l-waswāsil-khannās. Alladhī yuwaswisu fī ṣudūrin-nās. Minal-jinnati wannās.,"With the Name of Allah, the Most Gracious, the Most Merciful. Say: He is Allah (the) One. The Self-Sufficient Master, Whom all creatures need, He begets not nor was He begotten, and there is none equal to Him. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of the daybreak, from the evil of what He has created, and from the evil of the darkening (night) as it comes with its darkness, and from the evil of those who practice witchcraft when they blow in the knots, and from the evil of the envier when he envies. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of mankind, the King of mankind, the God of mankind, from the evil of the whisperer who withdraws, who whispers in the breasts of mankind, of jinns and men.","Reference:Abu Dawud 2/86, An-Nasa'i 3/68. See also Al-Albani, Sahih At-Tirmidhi 2/8.Hisnul Muslim 70"
Uncategorized,N/A,﴿اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ لاَ تَأْخُذُهُ سِنَةٌ وَلاَ نَوْمٌ لَّهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الأَرْضِ مَن ذَا الَّذِي يَشْفَعُ عِنْدَهُ إِلاَّ بِإِذْنِهِ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلاَ يُحِيطُونَ بِشَيْءٍ مِّنْ عِلْمِهِ إِلاَّ بِمَا شَاء وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالأَرْضَ وَلاَ يَؤُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ﴾ عقب كل صلاة,Allāhu lā ilāha illā huwa ‘l-Ḥayyul-Qayyūm. lā ta'khudhuhu sinatun wa lā nawm. lahu mā fis-samāwāti wa mā fil-ardh. man dhal-ladhī yashfa`u `indahu illā bi'idhnih. ya`lamu mā bayna 'aydīhim wa mā khalfahum. wa lā yuḥītūna bishay'im-min `ilmihi illā bimā shā'a. wasi `a kursiyyuhus-samāwāti wal-ardh. wa lā ya'ūduhu hifẓuhumā. wa huwal-`Aliyyu ‘l-`Aẓīm.,"Allah! There is none worthy of worship but He, the Ever-Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission? He knows what happens to them in this world, and what will happen to them in the Hereafter. And they will never compass anything of His Knowledge except that which He wills. His Throne extends over the heavens and the earth, and He feels no fatigue in guarding and preserving them. And He is the Most High, the Most Great. (Recite in Arabic after each prayer.)","Reference:An-Nasa'i, 'Amalul-Yawm wal-Laylah (Hadith no. 100), also Ibn As-Sunni (no. 121). See also Al-Albani, Sahihul-Jami' As-Saghir 5/339 and Silsilatul-Ahadith As-Sahihah 2/697 (no. 972).Hisnul Muslim 71"
Uncategorized,N/A,لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ يُحْيِي وَيُمِيتُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ(عَشْرَ مَرّاتٍ بَعْدَ صَلاةِ الْمَغْرِبِ وَالصُّبْحِ),Lā ilāha illallāhwaḥdahu lā sharīka lah. lahu‘l-mulku wa lahu‘l-ḥamdyuḥyī wa yumītwa huwa `alā kulli shay'in qadīr.,"None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise. He brings life and He causes death, and He is Able to do all things. (Recite ten times in Arabic after the Maghrib and Fajr prayers.)","Reference:At-Tirmidhi 5/515, Ahmad 4/227. See its checking in Ibn Al-Qayyim Al-Jawziyyah's Zddul-Ma'ad 1/300.Hisnul Muslim 72"
Uncategorized,N/A,اللَّهُمَّ إِنِّي أَسْأَلُكَ عِلْماً نافِعاً وَرِزْقاً طَيِّباً وَعَمَلاً مُتَقَبَّلاً(بَعْدَ السّلامِ مِنْ صَلاَةِ الفَجْرِ),"Allāhumma innī as'aluka `ilman nāfi`an. wa rizqan ṭayyiban, wa `amalam-mutaqabbala.","O Allah, I ask You for knowledge which is beneficial, and sustenance which is good, and deeds which are acceptable.[to be said after giving salam for the Fajr prayer.]",Reference:Ibn Majah and others. See Sahih Ibn Majah 1/152 and Majma' Az-Zawa'id 10/111Hisnul Muslim 73
Chapter 26: For seeking guidance in forming a decision or choosing the proper course,1 du'as,قال جابر بن عبد الله رضي الله عنهما : كان رسول الله صلى الله عليه وسلم يُعلمنا الاستخارة في الأمور كلها كما يعلمُنا السورة من القرآن يقول : إذا هم أحدكم بالأمر فليركع ركعتين من غير الفريضة ثم ليقل:  'اللهم  إني  أستخيرك  بعلمك  وأستقدرك  بقدرتك  وأسألك  من  فضلك  العظيم  فإنك  تقدِرُ  ولا  أقدِرُ  وتعلم  ولا  أعلم  وأنت  علام  الغيوب  اللهم  إن  كنت  تعلم  أن  هذا  الأمر - يسمي حاجته -  خير  لي  في  ديني  ومعاشي  وعاقبة  أمري - أو قال : عاجله وآجله -  فاقدره  لي  ويسره  لي  ثم  بارك  لي  فيه  وإن  كنت  تعلم  أن  هذا  الأمر  شر  لي  في  ديني  ومعاشي  وعاقبة  أمري - أو قال : عاجله وآجله -  فاصرفه  عني  واصرفني  عنه  واقدر  لي  الخير  حيث  كان  ثم  ارضني  به  ',Allāhumma innī astakhīruka bi `ilmik. wa astaqdiruka biqudratik. wa as'aluka min faḍlika ‘l-`Aẓīm. fa'innaka taqdiru wa lā aqdir. wa ta`lamu wa lā a`lam. wa anta `allāmu ‘l-ghuyūb. Allāhumma in kunta ta`lamu anna hādha ‘l-amra - [then mention the thing to be decided] Khayrun lī fī dīnī wa ma`āshī wa `āqibati amrī - [or say] `ājilihi wa ājilih -faqdurhu lī wa yassirhu līthumma bārik lī fīh. wa in kunta ta`lamu anna hādha ‘l-amrasharrun lī fī dīnī wa ma`āshī wa `āqibati 'amrī - [or say] `ājilihi wa 'ājilihi -faṣrifhu `annī waṣrifnī `anh. waqdur liya ‘l-khayra ḥaythu kān. thumma arḍinī bih.,"O Allah, I seek the counsel of Your Knowledge, and I seek the help of Your Omnipotence, and I beseech You for Your Magnificent Grace. Surely, You are Capable and I am not. You know and I know not, and You are the Knower of the unseen. O Allah, if You know that this matter [then mention the thing to be decided] is good for me in my religion and in my life and for my welfare in the life to come, - [or say: in this life and the afterlife] -then ordain it for me and make it easy for me, then bless me in it. And if You know that this matter is bad for me in my religion and in my life and for my welfare in the life to come, - [or say: in this life and the afterlife] -then distance it from me, and distance me from it, and ordain for me what is good wherever it may be, and help me to be content with it.",Reference:Al-Bukhari 7/162. and Aal-'Imran 3:159.Hisnul Muslim 74
Chapter 27: In the morning and evening,25 du'as,الْحَمْدُ لِلَّهِ وَحْدَهُ وَالصَّلاَةُ وَالسَّلاَمُ عَلَى مَنْ لاَ نَبِيَّ بَعْدَهُ,Alḥamdulillahi waḥdahwaṣ-ṣalatu was-salam `alā man lā nabiyya ba`dah.,"All praise is due to Allah alone, and peace and blessings be upon him after whom there is no other Prophet.","Reference:Anas (RA) said that he heard the Prophet (ﷺ) say: ""That I sit with people remembering Almighty Allah from the morning (Fajr) prayer until sunrise is more beloved to me than freeing four slaves from among the Children of Isma'il. That I sit with people remembering Allah from the afternoon ('Asr) prayer, until the sun sets, is more beloved to me than freeing four slaves from among the Children of Isma'il."" This was reported by Abu Dawud (no. 3667). Al-Albani graded it good in Sahih Abu Dawud 2/698.Hisnul Muslim 75a"
Uncategorized,N/A,(أعوذ بالله من الشيطان الرجيم) ﴿اللّهُ لاَ إِلَـهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ لاَ تَأْخُذُهُ سِنَةٌ وَلاَ نَوْمٌ لَّهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الأَرْضِ مَن ذَا الَّذِي يَشْفَعُ عِنْدَهُ إِلاَّ بِإِذْنِهِ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلاَ يُحِيطُونَ بِشَيْءٍ مِّنْ عِلْمِهِ إِلاَّ بِمَا شَاء وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالأَرْضَ وَلاَ يَؤُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ﴾,(A`ūdhu billāhi min ash-shaytāni 'r-rajīm) Allāhu lā ilāha illā huwa ‘l-Ḥayyul-Qayyūm. lā ta'khudhuhu sinatun wa lā nawm. lahu mā fis-samāwāti wa māfil-arḍ. man dhal-ladhī yashfa`u `indahu illā bi'idhnih. ya`lamu mā bayna aydīhim wa mā khalfahum. wa lā yuḥīṭūna bishay'im-min `ilmihi illā bimā shā'. wasi`a kursiyyuhus-samāwāti wal-arḍ. wa lā ya'ūduhu hifẓuhumā. wa huwal-`Aliyyu‘l-`Aẓīm.,"I seek refuge with Allah against the Satan, the outcast.Allah! There is none worthy of worship but He, the Ever-Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission?He knows what happens to them in this world, and what will happen to them in the Hereafter. And they will never encompass anything of His Knowledge except that which He wills. His Throne extends over the heavens and the earth, and He feels no fatigue in guarding and preserving them. And He is the Most High, the Most Great.","Reference:Whoever says this when he rises in the morning will be protected from jinns until he retires in the evening, and whoever says it when retiring in the evening will be protected from them until he rises in the morning. It was reported by Al-Hakim 1 / 562, Al-Albani graded it as authentic in Sahihut-Targhib wat-Tarhib 1/273, and traces it to An-Nasa'i and At-Tabarani. He says that At-Tabarani's chain of transmission is reliable (Jayyid).Hisnul Muslim 75"
Uncategorized,N/A,بسم  الله  الرحمن  الرحيم {  قُلْ  هُوَ  اللَّهُ  أَحَدٌ *  اللَّهُ  الصَّمَدُ *  لَمْ  يَلِدْ  وَلَمْ  يُولَدْ *  لَمْ  يَكُن  لَّهُ  كُفُواً  أَحَدٌ }  بسم  الله  الرحمن  الرحيم {  قُلْ  أَعُوذُ  بِرَبِّ  الْفَلَقِ *  مِن  شَرِّ  مَا  خَلَقَ *  وَمِن  شَرِّ  غَاسِقٍ  إِذَا  وَقَبَ *  وَمِن  شَرِّ  النَّفَّاثَاتِ  فِي  الْعُقَدِ *  وَمِن  شَرِّ  حَاسِدٍ  إِذَا  حَسَدَ }  بسم  الله  الرحمن  الرحيم {  قُلْ  أَعُوذُ  بِرَبِّ  النَّاسِ *  مَلِكِ  النَّاسِ *  إِلَهِ  النَّاسِ *  مِن  شَرِّ  الْوَسْوَاسِ  الْخَنَّاسِ *  الَّذِي  يُوَسْوِسُ  فِي  صُدُورِ  النَّاسِ *  مِنَ  الْجِنَّةِ  وَالنَّاسِ(ثلاث مرات),Bismillāhir-Raḥmānir-Raḥīm. Qul huwallāhu aḥad. Allāhuṣ-ṣamad. Lam yalid wa lam yūlad. Wa lam yakun lahu kufuwan aḥad.Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbil-falaq. Min sharri mā khalaq. Wa min sharri ghāsiqin idhā waqab. Wa min sharrin-naffāthāti fil-`uqad. Wa min sharri ḥāsidin idhā ḥasad.Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbin-nās. Malikin-nās.'Ilāhin-nās. Min sharri ‘l-waswāsil-khannās. Alladhī yuwaswisu fī ṣudūrin-nās. Minal-jinnati wannās.,"With the Name of Allah, the Most Gracious, the Most Merciful. Say: He is Allah (the) One. The Self-Sufficient Master, Whom all creatures need, He begets not nor was He begotten, and there is none equal to Him.With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of the daybreak, from the evil of what He has created, and from the evil of the darkening (night) as it comes with its darkness, and from the evil of those who practice witchcraft when they blow in the knots, and from the evil of the envier when he envies.With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of mankind, the King of mankind, the God of mankind, from the evil of the whisperer who withdraws, who whispers in the breasts of mankind, of jinns and men.(Recite these three times each in Arabic).","Reference:Al-Ikhlas 112:1-4, Al-Falaq 113:1-5, An-Nas 114:1-6. Whoever recites these three times in the morning and in the evening, they will suffice him (as a protection) against everything. The Hadith was reported by Abu Dawud 4/322, and At-Tirmidhi 5/567. See Al-Albani's Sahih At-Tirmidhi 3/182.Hisnul Muslim 76"
Uncategorized,N/A,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ وَالْحَمْدُ لِلَّهِ لاَ إِلَهَ إلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ رَبِّ أَسْأَلُكَ خَيْرَ مَا فِي هَذَا الْيَوْمِ وَخَيرَ مَا بَعْدَهُ وَأَعُوذُ بِكَ مِنْ شَرِّ مَا فِي هَذَا الْيَوْمِ وَشَرِّ مَا بَعْدَهُ رَبِّ أَعُوذُ بِكَ مِنَ الْكَسَلِ وَسُوءِ الْكِبَرِ رَبِّ أَعُوذُ بِكَ مِنْ عَذَابٍ فِي النَّارِ وَعَذَابٍ فِي القَـبْر.,"Aṣbaḥnā wa aṣbaḥal-mulku lillāh, walḥamdu lillāh. lā ilāha illallāhu waḥdahu lā sharīka lah. lahul-mulku wa lahul-ḥamd, wa huwa `alā kulli shay'in Qadīr. Rabbi as'aluka khayra mā fī hādha ‘l-yawmi wa khayra mā ba`dahuwa a`ūdhu bika min sharri mā fī hātha ‘l-yawmi wa sharri mā ba`dahu. Rabbi a`ūdhu bika minal-kasali, wa sū'il-kibar. Rabbi a`ūdhu bika min `adhābin fin-nāri wa `adhābin fil-qabr.","We have entered a new day 1 and with it all dominion is Allah's. Praise is to Allah. None has the right to be worshipped but Allah alone, Who has no partner. To Allah belongs the dominion, and to Him is the praise and He is Able to do all things. My Lord, I ask You for the goodness of this day and of the days that come after it, and I seek refuge in You from the evil of this day and of the days that come after it.<>sup>2 My Lord, I seek refuge in You from laziness and helpless old age. My Lord, I seek refuge in You from the punishment of Hell-fire, and from the punishment of the grave.3","Reference:1 When you say this in the evening you should say Amsaynā wa amsal-mulku lillāh: ""We have ended another day and with it, all dominion is Allah's. 2 When you say this in the evening you should say: Rabbi as'aluka khayra mā fī hāthihil-laylati, wa khayra mā ba`dahā, wa a`ūthu bika min sharri mā fī hāthihil-laylati wa sharri mā ba`dahā: ""I ask You for the good things of this night and of the nights that come after it and I seek refuge in You from the evil of this night and of the nights that come after it."" 3 Muslim 4/2088.Hisnul Muslim 77"
